episode, score
1,26.6666666667
2,46.6666666667
3,46.6666666667
4,46.6666666667
5,46.6666666667
6,46.6666666667
7,46.6666666667
8,46.6666666667
9,46.6666666667
10,86.6666666667
11,46.6666666667
12,60.0
13,46.6666666667
14,46.6666666667
15,46.6666666667
16,46.6666666667
17,46.6666666667
18,46.6666666667
19,46.6666666667
20,46.6666666667
21,46.6666666667
22,46.6666666667
23,46.6666666667
24,46.6666666667
25,46.6666666667
26,46.6666666667
27,46.6666666667
28,46.6666666667
29,46.6666666667
30,46.6666666667
31,46.6666666667
32,46.6666666667
33,46.6666666667
34,46.6666666667
35,46.6666666667
36,46.6666666667
37,46.6666666667
38,46.6666666667
39,46.6666666667
40,73.3333333333
41,46.6666666667
42,60.0
43,46.6666666667
44,46.6666666667
45,46.6666666667
46,46.6666666667
47,46.6666666667
48,60.0
49,46.6666666667
50,46.6666666667
51,46.6666666667
52,46.6666666667
53,46.6666666667
54,46.6666666667
55,73.3333333333
56,46.6666666667
57,46.6666666667
58,60.0
59,46.6666666667
60,46.6666666667
61,46.6666666667
62,46.6666666667
63,46.6666666667
64,46.6666666667
65,46.6666666667
66,46.6666666667
67,46.6666666667
68,46.6666666667
69,60.0
70,46.6666666667
71,46.6666666667
72,46.6666666667
73,46.6666666667
74,60.0
75,46.6666666667
76,46.6666666667
77,46.6666666667
78,46.6666666667
79,46.6666666667
80,46.6666666667
81,46.6666666667
82,46.6666666667
83,46.6666666667
84,46.6666666667
85,46.6666666667
86,46.6666666667
87,46.6666666667
88,46.6666666667
89,46.6666666667
90,46.6666666667
91,46.6666666667
92,46.6666666667
93,46.6666666667
94,46.6666666667
95,46.6666666667
96,46.6666666667
97,46.6666666667
98,46.6666666667
99,46.6666666667
100,46.6666666667
101,46.6666666667
102,46.6666666667
103,46.6666666667
104,46.6666666667
105,60.0
106,46.6666666667
107,46.6666666667
108,46.6666666667
109,46.6666666667
110,46.6666666667
111,46.6666666667
112,46.6666666667
113,60.0
114,46.6666666667
115,73.3333333333
116,46.6666666667
117,46.6666666667
118,46.6666666667
119,46.6666666667
120,46.6666666667
121,46.6666666667
122,46.6666666667
123,46.6666666667
124,46.6666666667
125,46.6666666667
126,46.6666666667
127,46.6666666667
128,46.6666666667
129,46.6666666667
130,73.3333333333
131,46.6666666667
132,46.6666666667
133,46.6666666667
134,46.6666666667
135,46.6666666667
136,46.6666666667
137,46.6666666667
138,46.6666666667
139,46.6666666667
140,46.6666666667
141,46.6666666667
142,46.6666666667
143,73.3333333333
144,60.0
145,73.3333333333
146,46.6666666667
147,46.6666666667
148,46.6666666667
149,46.6666666667
150,46.6666666667
151,46.6666666667
152,46.6666666667
153,46.6666666667
154,46.6666666667
155,46.6666666667
156,46.6666666667
157,46.6666666667
158,46.6666666667
159,46.6666666667
160,46.6666666667
161,46.6666666667
162,46.6666666667
163,46.6666666667
164,46.6666666667
165,46.6666666667
166,46.6666666667
167,73.3333333333
168,46.6666666667
169,60.0
170,46.6666666667
171,46.6666666667
172,46.6666666667
173,46.6666666667
174,46.6666666667
175,46.6666666667
176,46.6666666667
177,46.6666666667
178,46.6666666667
179,46.6666666667
180,46.6666666667
181,46.6666666667
182,46.6666666667
183,46.6666666667
184,46.6666666667
185,46.6666666667
186,46.6666666667
187,46.6666666667
188,46.6666666667
189,46.6666666667
190,46.6666666667
191,46.6666666667
192,46.6666666667
193,60.0
194,46.6666666667
195,60.0
196,46.6666666667
197,46.6666666667
198,46.6666666667
199,46.6666666667
200,60.0
201,46.6666666667
202,46.6666666667
203,46.6666666667
204,46.6666666667
205,46.6666666667
206,46.6666666667
207,46.6666666667
208,46.6666666667
209,60.0
210,46.6666666667
211,46.6666666667
212,46.6666666667
213,46.6666666667
214,46.6666666667
215,60.0
216,46.6666666667
217,46.6666666667
218,46.6666666667
219,46.6666666667
220,46.6666666667
221,46.6666666667
222,46.6666666667
223,46.6666666667
224,46.6666666667
225,46.6666666667
226,46.6666666667
227,46.6666666667
228,60.0
229,46.6666666667
230,46.6666666667
231,46.6666666667
232,46.6666666667
233,46.6666666667
234,46.6666666667
235,46.6666666667
236,60.0
237,46.6666666667
238,46.6666666667
239,46.6666666667
240,46.6666666667
241,46.6666666667
242,46.6666666667
243,46.6666666667
244,46.6666666667
245,46.6666666667
